Unique_sample_ID	Location2	Collection_Group	Sex	bam_path
0002_140826_Hon01_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-01-25-1_L007_map_190110_2_RG.bam
0003_140826_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-02-25-1_L007_map_190110_2_RG.bam
0004_140826_Hon02_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-03-25-1_L007_map_190110_2_RG.bam
0005_140826_Hon03_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-04-25-1_L007_map_190110_2_RG.bam
0006_140826_Hon03_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-05-25-1_L007_map_190110_2_RG.bam
0018_140826_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-06-25-1_L007_map_190110_2_RG.bam
0023_140930_Hon01_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-07-25-1_L007_map_190110_2_RG.bam
0025_140930_Hon02_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-08-25-1_L007_map_190110_2_RG.bam
0026_140930_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-09-25-1_L007_map_190110_2_RG.bam
0027_140930_Hon03_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-10-25-1_L007_map_190110_2_RG.bam
0045_141029_Hon01_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-11-25-1_L007_map_190110_2_RG.bam
0046_141029_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-12-25-1_L007_map_190110_2_RG.bam
0047_141029_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-13-25-1_L007_map_190110_2_RG.bam
0081_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-14-25-1_L007_map_190110_2_RG.bam
0082_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-15-25-1_L007_map_190110_2_RG.bam
0084_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-16-25-1_L007_map_190110_2_RG.bam
0085_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-17-25-1_L007_map_190110_2_RG.bam
0086_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-18-25-1_L007_map_190110_2_RG.bam
0087_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-19-25-1_L007_map_190110_2_RG.bam
0088_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-20-25-1_L007_map_190110_2_RG.bam
0089_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-21-25-1_L007_map_190110_2_RG.bam
0090_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-22-25-1_L007_map_190110_2_RG.bam
0091_141125_Hon09_U	La_Esperanza	Honduras_2	U	bamfiles/season1_trim_C732HANXX-1587-23-25-1_L007_map_190110_2_RG.bam
0092_141125_Hon09_U	La_Esperanza	Honduras_2	U	bamfiles/season1_trim_C732HANXX-1587-24-25-1_L007_map_190110_2_RG.bam
0141_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-73-25-1_L007_map_190110_2_RG.bam
0142_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-74-25-1_L007_map_190110_2_RG.bam
0143_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-75-25-1_L007_map_190110_2_RG.bam
0144_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-76-25-1_L007_map_190110_2_RG.bam
0145_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-77-25-1_L007_map_190110_2_RG.bam
0146_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-78-25-1_L007_map_190110_2_RG.bam
0147_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-79-25-1_L007_map_190110_2_RG.bam
0148_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-80-25-1_L007_map_190110_2_RG.bam
0149_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-81-25-1_L007_map_190110_2_RG.bam
0150_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-82-25-1_L007_map_190110_2_RG.bam
0151_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-83-25-1_L007_map_190110_2_RG.bam
0152_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-84-25-1_L007_map_190110_2_RG.bam
0153_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-85-25-1_L007_map_190110_2_RG.bam
0154_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-86-25-1_L007_map_190110_2_RG.bam
0155_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-87-25-1_L007_map_190110_2_RG.bam
0156_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-88-25-1_L007_map_190110_2_RG.bam
0158_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-89-25-1_L007_map_190110_2_RG.bam
0159_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-90-25-1_L007_map_190110_2_RG.bam
0160_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-91-25-1_L007_map_190110_2_RG.bam
0161_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-92-25-1_L007_map_190110_2_RG.bam
0163_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-93-25-1_L007_map_190110_2_RG.bam
0164_150310_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-94-25-1_L007_map_190110_2_RG.bam
0267_150326_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-95-25-1_L007_map_190110_2_RG.bam
0268_150326_Col03_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-96-25-1_L007_map_190110_2_RG.bam
0321_170704_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-49-25-01_S68_L002_map_190110_2_RG.bam
0322_170704_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-50-25-01_S69_L002_map_190110_2_RG.bam
0339_170704_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-67-25-01_S86_L002_map_190110_2_RG.bam
0342_170704_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-70-25-01_S89_L002_map_190110_2_RG.bam
0345_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-51-25-01_S70_L002_map_190110_2_RG.bam
0346_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-52-25-01_S71_L002_map_190110_2_RG.bam
0347_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-53-25-01_S72_L002_map_190110_2_RG.bam
0348_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-54-25-01_S73_L002_map_190110_2_RG.bam
0349_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-55-25-01_S74_L002_map_190110_2_RG.bam
0350_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-56-25-01_S75_L002_map_190110_2_RG.bam
0351_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-57-25-01_S76_L002_map_190110_2_RG.bam
0352_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-58-25-01_S77_L002_map_190110_2_RG.bam
0353_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-59-25-01_S78_L002_map_190110_2_RG.bam
0354_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-60-25-01_S79_L002_map_190110_2_RG.bam
0355_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-61-25-01_S80_L002_map_190110_2_RG.bam
0356_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-62-25-01_S81_L002_map_190110_2_RG.bam
0357_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-63-25-01_S82_L002_map_190110_2_RG.bam
0358_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-64-25-01_S83_L002_map_190110_2_RG.bam
0359_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-65-25-01_S84_L002_map_190110_2_RG.bam
0360_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-66-25-01_S85_L002_map_190110_2_RG.bam
0361_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-68-25-01_S87_L002_map_190110_2_RG.bam
0362_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-69-25-01_S88_L002_map_190110_2_RG.bam
0363_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-71-25-01_S90_L002_map_190110_2_RG.bam
0364_170705_NRR14_U	Southbridge	Southbridge_5	U	bamfiles/season2_CBR7WANXX-2635-72-25-01_S91_L002_map_190110_2_RG.bam
0408_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-100-25-01_S119_L003_map_190110_2_RG.bam
0409_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-101-25-01_S120_L003_map_190110_2_RG.bam
0410_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-102-25-01_S121_L003_map_190110_2_RG.bam
0411_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-103-25-01_S122_L003_map_190110_2_RG.bam
0412_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-104-25-01_S123_L003_map_190110_2_RG.bam
0413_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-105-25-01_S124_L003_map_190110_2_RG.bam
0414_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-106-25-01_S125_L003_map_190110_2_RG.bam
0415_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-107-25-01_S126_L003_map_190110_2_RG.bam
0416_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-108-25-01_S127_L003_map_190110_2_RG.bam
0417_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-109-25-01_S128_L003_map_190110_2_RG.bam
0418_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-110-25-01_S129_L003_map_190110_2_RG.bam
0419_170703_Pat01_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-111-25-01_S130_L003_map_190110_2_RG.bam
0420_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-112-25-01_S131_L003_map_190110_2_RG.bam
0421_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-113-25-01_S132_L003_map_190110_2_RG.bam
0422_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-114-25-01_S133_L003_map_190110_2_RG.bam
0423_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-115-25-01_S134_L003_map_190110_2_RG.bam
0424_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-116-25-01_S135_L003_map_190110_2_RG.bam
0425_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-117-25-01_S136_L003_map_190110_2_RG.bam
0426_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-118-25-01_S137_L003_map_190110_2_RG.bam
0427_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-119-25-01_S138_L003_map_190110_2_RG.bam
0428_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-120-25-01_S139_L003_map_190110_2_RG.bam
0429_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-121-25-01_S140_L003_map_190110_2_RG.bam
0430_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-122-25-01_S141_L003_map_190110_2_RG.bam
0431_170703_Pat02_U	Pukekohe	Pukekohe	U	bamfiles/season2_CBR7WANXX-2635-123-25-01_S142_L003_map_190110_2_RG.bam
0432_170708_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-124-25-01_S143_L003_map_190110_2_RG.bam
0433_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-125-25-01_S144_L003_map_190110_2_RG.bam
0434_170708_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-126-25-01_S145_L003_map_190110_2_RG.bam
0435_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-127-25-01_S146_L003_map_190110_2_RG.bam
0436_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-128-25-01_S147_L003_map_190110_2_RG.bam
0437_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-129-25-01_S148_L003_map_190110_2_RG.bam
0438_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-130-25-01_S149_L003_map_190110_2_RG.bam
0439_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-131-25-01_S150_L003_map_190110_2_RG.bam
0440_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-132-25-01_S151_L003_map_190110_2_RG.bam
0441_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-133-25-01_S152_L003_map_190110_2_RG.bam
0442_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-134-25-01_S153_L003_map_190110_2_RG.bam
0443_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-135-25-01_S154_L003_map_190110_2_RG.bam
0444_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-136-25-01_S155_L003_map_190110_2_RG.bam
0445_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-137-25-01_S156_L003_map_190110_2_RG.bam
0446_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-138-25-01_S157_L003_map_190110_2_RG.bam
0447_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-139-25-01_S158_L003_map_190110_2_RG.bam
0448_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-140-25-01_S159_L003_map_190110_2_RG.bam
0449_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-141-25-01_S160_L003_map_190110_2_RG.bam
0450_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-142-25-01_S161_L003_map_190110_2_RG.bam
0451_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-143-25-01_S162_L003_map_190110_2_RG.bam
0452_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-144-25-01_S163_L003_map_190110_2_RG.bam
0453_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-145-25-01_S164_L003_map_190110_2_RG.bam
0454_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-146-25-01_S165_L003_map_190110_2_RG.bam
0455_170703_Bri01_U	Hawkes_Bay	Hawkes_Bay_2	U	bamfiles/season2_CBR7WANXX-2635-147-25-01_S166_L003_map_190110_2_RG.bam
0536_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S52_map_190110_2_RG.bam
0537_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S53_map_190110_2_RG.bam
0538_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S54_map_190110_2_RG.bam
0539_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S55_map_190110_2_RG.bam
0540_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S56_map_190110_2_RG.bam
0541_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S57_map_190110_2_RG.bam
0542_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S58_map_190110_2_RG.bam
0543_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S59_map_190110_2_RG.bam
0544_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S60_map_190110_2_RG.bam
0545_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S61_map_190110_2_RG.bam
0546_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S62_map_190110_2_RG.bam
0548_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S63_map_190110_2_RG.bam
0549_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S64_map_190110_2_RG.bam
0550_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S65_map_190110_2_RG.bam
0551_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S66_map_190110_2_RG.bam
0552_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S67_map_190110_2_RG.bam
0553_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S68_map_190110_2_RG.bam
0554_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S69_map_190110_2_RG.bam
0555_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S70_map_190110_2_RG.bam
0556_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S71_map_190110_2_RG.bam
0557_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S72_map_190110_2_RG.bam
0558_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S73_map_190110_2_RG.bam
0559_180510_Cal05_U	California	California_2	U	bamfiles/OG3837_25-01-S74_map_190110_2_RG.bam
